"","species","size","rep","auc","RMSEWeighted","TjursR2","PC1_rankCor","PC3_rankCor","Rhat","pr_integral","varPC2Response","model","pos"
"127","narrow_avg","8","rep7",0.744384765625,0.957759118015872,0.0888588163966332,0.925710372616294,-0.918430005269758,NA,0.691552679406986,0.0622388551201897,"glm",1.6
"147","narrow_avg","8","rep8",0.79345703125,0.927684181675342,0.133296595255072,0.909439813429419,0.885988598859886,NA,0.748029829019909,0.0285663248139955,"glm",1.6
"167","narrow_avg","8","rep9",0.790771484375,0.954952833103949,0.150045418896051,0.96034444422114,0.906821923210636,NA,0.717146783162254,0.14802984910121,"glm",1.6
"187","narrow_avg","8","rep10",0.741943359375,0.947942015365439,0.0781269599093438,0.954198775066345,0.990376964851743,NA,0.673691859303338,0.0388182484519831,"glm",1.6
"207","narrow_avg","8","rep11",0.811279296875,0.937448755517038,0.0802004040684983,0.872041309574587,0.99195144023175,NA,0.764893896861452,0.279170342776009,"glm",1.6
"227","narrow_avg","8","rep12",0.744384765625,0.94422488438885,0.130979760933613,0.936040392911394,0.97568543211003,NA,0.653034800088399,0.0249937062748621,"glm",1.6
"247","narrow_avg","8","rep13",0.8271484375,0.94742014639363,0.134511437419107,0.938181971421091,0.894941494149415,NA,0.790317724501199,0.108456460744642,"glm",1.6
"267","narrow_avg","8","rep14",0.763671875,0.938442300241299,0.0940207806619914,0.965849900843332,0.997383738373837,NA,0.687149368674222,0.203505512237997,"glm",1.6
"287","narrow_avg","8","rep15",0.745361328125,0.950115584358213,0.0900756629229254,0.953620476559525,0.557347734773477,NA,0.682810207629468,0.130999248028965,"glm",1.6
"307","narrow_avg","8","rep16",0.73876953125,0.944157384631866,0.133219809311307,0.944448987425464,0.934521452145215,NA,0.702209000491686,0.0755379743136439,"glm",1.6
"327","narrow_avg","8","rep17",0.68701171875,0.954975795395283,0.0800637795538005,0.913311271890118,0.738073807380738,NA,0.613632044129275,0.0241660570664625,"glm",1.6
"347","narrow_avg","8","rep18",0.7818603515625,0.944314667297251,0.0973956390405652,0.87732375420763,0.964926203267413,NA,0.729164993938007,0.0396087913734406,"glm",1.6
"367","narrow_avg","8","rep19",0.810791015625,0.940739323679896,0.167612915459838,0.903189667322161,-0.946413515119732,NA,0.757383891515116,0.0725826428928223,"glm",1.6
"387","narrow_avg","8","rep20",0.809814453125,0.942941138431804,0.194263307840417,0.918804110258678,0.990819081908191,NA,0.744082934661322,0.174903376481793,"glm",1.6
"407","narrow_avg","8","rep21",0.7919921875,0.937936143461663,0.164122573206126,0.930759205019373,0.987637441744987,NA,0.74886367047027,0.122380077573483,"glm",1.6
"427","narrow_avg","8","rep22",0.69580078125,0.955574910063697,0.0553212649513608,0.932458789649955,-0.885587427629186,NA,0.650215830662038,0.0799144853117895,"glm",1.6
"447","narrow_avg","8","rep23",0.81591796875,0.938901878031664,0.215560259451884,0.938181971421091,0.998883888388839,NA,0.789475592990528,0.090304049558275,"glm",1.6
"467","narrow_avg","8","rep24",0.80419921875,0.951166661735094,0.204790132295277,0.956668141553106,0.885988598859886,NA,0.762810577247691,0.137742401021392,"glm",1.6
"487","narrow_avg","8","rep25",0.788330078125,0.942832332546258,0.240278575512145,0.975514986962705,0.963001139066247,NA,0.722395338450311,0.021201831505484,"glm",1.6
"507","narrow_avg","8","rep26",0.765625,0.943197356068013,0.0588460322187915,0.918308955972217,0.943738200695443,NA,0.657127770850246,0.12768523652221,"glm",1.6
"527","narrow_avg","8","rep27",0.69677734375,0.95928164140311,0.0715213598776594,0.953626417935589,0.988855745903499,NA,0.659088014822612,0.025756270225858,"glm",1.6
"547","narrow_avg","8","rep28",0.740966796875,0.948192838307546,0.105822431623095,0.946191179294108,0.997152340858359,NA,0.715714120406924,0.129736363723556,"glm",1.6
"567","narrow_avg","8","rep29",0.605712890625,0.966866508451269,0.00798772137368879,0.944482448244825,0.18988298829883,NA,0.559086891065811,0.0896729428752253,"glm",1.6
"587","narrow_avg","8","rep30",0.74609375,0.933853728749346,0.108135722035031,0.924951695348692,0.981700899032702,NA,0.704399078401233,0.132769260630133,"glm",1.6
"607","narrow_avg","8","rep31",0.6671142578125,0.960260336220281,0.0691373301037692,0.931887080093854,0.696040578905115,NA,0.683164902956697,2.84445232963317e-10,"glm",1.6
"627","narrow_avg","8","rep32",0.74951171875,0.959063020299205,0.163989439499499,0.984887682677234,-0.970884739160698,NA,0.691356968922202,0.015958792810509,"glm",1.6
"647","narrow_avg","8","rep33",0.778076171875,0.967215158330669,0.206605415367612,0.995345908100258,0.992364552028752,NA,0.738403376827564,0.0177758197064879,"glm",1.6
"667","narrow_avg","8","rep34",0.80712890625,0.947704761870536,0.212588958570268,0.954751883509582,0.988684901571455,NA,0.732987586266431,0.0900919979873324,"glm",1.6
"687","narrow_avg","8","rep35",0.738525390625,0.933187108780332,0.127463272333114,0.929168626749117,0.985742574257426,NA,0.649670112014356,0.0687647061438936,"glm",1.6
"707","narrow_avg","8","rep36",0.7138671875,0.935147983041242,0.0971337627034832,0.941977066473689,0.929895094128033,NA,0.639644254346912,0.0218643455603263,"glm",1.6
"727","narrow_avg","8","rep37",0.729248046875,0.960300408526221,0.0522844659094091,0.949960497588427,0.906530437426503,NA,0.623275548947224,0.0186042304459058,"glm",1.6
"747","narrow_avg","8","rep38",0.784423828125,0.941670160907754,0.166348012596421,0.946714064480193,0.897636900771694,NA,0.76885129311284,0.0105720925473953,"glm",1.6
"767","narrow_avg","8","rep39",0.789306640625,0.948461877300707,0.201839535798408,0.930305724226963,-0.900750075007501,NA,0.752388549322568,0.0391535877064588,"glm",1.6
"787","narrow_avg","8","rep40",0.786865234375,0.936799848702248,0.177204683493887,0.935395960817145,0.910807439950888,NA,0.719674563918198,0.0147143185689767,"glm",1.6
"807","narrow_avg","8","rep41",0.7041015625,0.950654482876883,0.10851484549335,0.980940842163752,0.885988598859886,NA,0.70714729142811,0.0156889971175996,"glm",1.6
"827","narrow_avg","8","rep42",0.84521484375,0.945126212102691,0.339300210934225,0.960813361809474,0.999051496896578,NA,0.782819726507121,0.0494922196145424,"glm",1.6
"847","narrow_avg","8","rep43",0.646240234375,0.948755028756759,0.0236442037610728,0.930601204880692,-0.885988598859886,NA,0.596472789111365,0.0799410653061459,"glm",1.6
"867","narrow_avg","8","rep44",0.7529296875,0.948854489273465,0.156043155811279,0.977665373713468,0.959639351894657,NA,0.759328724456108,0.0204265059071493,"glm",1.6
"887","narrow_avg","8","rep45",0.723876953125,0.950846820134528,0.0690490010907809,0.961116230835192,0.895371874178321,NA,0.669575547810468,0.215600543956965,"glm",1.6
"907","narrow_avg","8","rep46",0.816162109375,0.957527446536541,0.0839651329361631,0.887239944700388,0.952720204908774,NA,0.719058903640873,0.0485190898951202,"glm",1.6
"927","narrow_avg","8","rep47",0.718994140625,0.95216946462006,0.0777234924110995,0.941342641963111,-0.885988598859886,NA,0.6650277331415,0.0536718502540882,"glm",1.6
"947","narrow_avg","8","rep48",0.813232421875,0.934474620888986,0.103076304170106,0.930305724226963,0.968303487643752,NA,0.770455383115147,0.241483173777396,"glm",1.6
"967","narrow_avg","8","rep49",0.705810546875,0.952348719553098,0.0619914950350858,0.894460774973626,0.900637659850892,NA,0.658648945714379,0.047416583381934,"glm",1.6
"987","narrow_avg","8","rep50",0.83251953125,0.933224553918991,0.188384447456576,0.898944275292417,0.934889293194173,NA,0.776808217800395,0.0325287937970068,"glm",1.6
"1007","narrow_avg","8","rep51",0.786865234375,0.945737745626952,0.178550125567587,0.938278603210074,-0.91239072175342,NA,0.755047760173588,0.0490424229868707,"glm",1.6
"1027","narrow_avg","8","rep52",0.8076171875,0.948579721259929,0.285694391259564,0.949344051421411,-0.999831969081125,NA,0.761077631364865,0.00918799388322271,"glm",1.6
"1047","narrow_avg","8","rep53",0.819091796875,0.950101322180215,0.186918416026999,0.927107416421865,0.996170318923959,NA,0.757446865232592,0.135484391193032,"glm",1.6
"1067","narrow_avg","8","rep54",0.826171875,0.945794265772722,0.218989041021779,0.949960497588427,0.918818842325921,NA,0.796352579929604,0.171439991727652,"glm",1.6
"1087","narrow_avg","8","rep55",0.69580078125,0.968688039875549,0.011900433765337,0.955965070370111,0.814581458145815,NA,0.577501637361188,0.124619217509255,"glm",1.6
"1107","narrow_avg","8","rep56",0.7972412109375,0.95113749983602,0.0841393183331457,0.92725831431597,0.9436096505537,NA,0.729739409316297,0.17093544682256,"glm",1.6
"1127","narrow_avg","8","rep57",0.78759765625,0.940335653824961,0.152460210479846,0.925671479673722,0.89606664452586,NA,0.746700811670412,0.0885116110509321,"glm",1.6
"1147","narrow_avg","8","rep58",0.7733154296875,0.949068193758413,0.0300817976373948,0.899071134067471,0.947515954063627,NA,0.670625335244203,0.243789265286524,"glm",1.6
"1167","narrow_avg","8","rep59",0.725830078125,0.960606970933973,0.0853412776998661,0.992120628606342,0.99971197119712,NA,0.663913808637927,0.037730409362439,"glm",1.6
"1187","narrow_avg","8","rep60",0.75390625,0.951897424126164,0.156885241398014,0.965355643151419,0.534353435343534,NA,0.713018478436083,0.00441615234609229,"glm",1.6
"1207","narrow_avg","8","rep61",0.630859375,0.970422639809781,0.0108061755297347,0.985178517851785,0.913537129123215,NA,0.574914230616697,0.0714814664458849,"glm",1.6
"1227","narrow_avg","8","rep62",0.77783203125,0.949137542439934,0.132711040179011,0.914174803987992,0.996014089902684,NA,0.700833647671606,0.0522678139442259,"glm",1.6
